Ticker ,BBERG_Ticker,Short Name,Market Cap,Revenue T12M,OPM LF,GICS Sector,GICS Ind Grp Name
VIRT,VIRT US Equity,VIRTU FINANCIA-A,"4,557,121,536","2,698,636,960",47.30,Financials,Diversified Financials
VMC,VMC US Equity,VULCAN MATERIALS,"17,468,583,936","4,976,726,912",22.60,Materials,Materials
VMI,VMI US Equity,VALMONT INDS,"2,828,059,648","2,736,973,952",6.31,Industrials,Capital Goods
VMW,VMW US Equity,VMWARE INC-CL A,"58,968,748,032","10,702,000,128",15.29,Information Technology,Software & Services
VOYA,VOYA US Equity,VOYA FINANCIAL I,"6,531,497,472","7,394,999,936",0.12,Financials,Diversified Financials
VRNT,VRNT US Equity,VERINT SYSTEMS,"2,814,609,408","1,275,670,016",2.15,Information Technology,Software & Services
VRSK,VRSK US Equity,VERISK ANALYTI,"30,923,149,312","2,698,100,032",38.26,Industrials,Commercial & Professional Services
VRSN,VRSN US Equity,VERISIGN INC,"23,570,272,256","1,245,852,992",65.78,Information Technology,Software & Services
VRTS,VRTS US Equity,VIRTUS INVEST,"1,110,936,192","667,380,016",18.85,Financials,Diversified Financials
VRTU,VRTU US Equity,VIRTUSA CORP,"1,227,422,080","1,294,323,008",2.38,Information Technology,Software & Services
VRTX,VRTX US Equity,VERTEX PHARM,"70,547,578,880","5,402,684,928",47.10,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
VSAT,VSAT US Equity,VIASAT INC,"2,823,590,144","2,302,689,024",-1.00,Information Technology,Technology Hardware & Equipment
VSH,VSH US Equity,VISHAY INTERTECH,"2,537,304,064","2,432,464,064",7.01,Information Technology,Technology Hardware & Equipment
VSTO,VSTO US Equity,VISTA OUTDOOR,"1,233,821,824","1,775,236,992",10.03,Consumer Discretionary,Consumer Durables & Apparel
VVNT,VVNT US Equity,VIVINT SMART HOM,"3,265,860,352","609,233,984",-13.17,Consumer Discretionary,Consumer Services
VVV,VVV US Equity,VALVOLINE INC,"4,039,320,320","2,330,000,000",17.05,Materials,Materials
VZ,VZ US Equity,VERIZON COMMUNIC,"242,489,950,208","129,725,997,056",24.18,Communication Services,Telecommunication Services
W,W US Equity,WAYFAIR INC- A,"28,783,288,320","11,473,711,872",6.97,Consumer Discretionary,Retailing
WAB,WAB US Equity,WABTEC CORP,"13,307,648,000","8,037,399,936",9.17,Industrials,Capital Goods
WAT,WAT US Equity,WATERS CORP,"13,327,088,640","2,278,495,040",29.83,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences"
WBA,WBA US Equity,WALGREENS BOOTS,"36,238,454,784","138,744,000,512",-5.28,Consumer Staples,Food & Staples Retailing
WBT,WBT US Equity,WELBILT INC,"1,079,734,528","1,327,200,000",0.34,Industrials,Capital Goods
WCC,WCC US Equity,WESCO INTL,"2,196,018,944","8,302,915,200",0.73,Industrials,Capital Goods
WDAY,WDAY US Equity,WORKDAY INC-A,"41,888,751,616","3,820,536,000",-14.18,Information Technology,Software & Services
WDC,WDC US Equity,WESTERN DIGITAL,"11,020,007,424","16,736,000,000",6.09,Information Technology,Technology Hardware & Equipment
WDR,WDR US Equity,WADDELL & REED-A,"1,019,811,456","1,044,518,000",9.26,Financials,Diversified Financials
WEN,WEN US Equity,WENDY'S CO/THE,"4,966,520,832","1,672,336,992",15.08,Consumer Discretionary,Consumer Services
WERN,WERN US Equity,WERNER ENT,"3,145,296,896","2,401,712,960",9.28,Industrials,Transportation
WEX,WEX US Equity,WEX INC,"7,237,728,768","1,678,771,008",8.29,Information Technology,Software & Services
WGO,WGO US Equity,WINNEBAGO INDS,"1,968,026,368","2,148,121,952",-2.03,Consumer Discretionary,Automobiles & Components
WH,WH US Equity,WYNDHAM HOTELS &,"4,697,180,160","1,720,000,000",-75.19,Consumer Discretionary,Consumer Services
WHR,WHR US Equity,WHIRLPOOL CORP,"11,124,430,848","18,840,000,000",1.90,Consumer Discretionary,Consumer Durables & Apparel
WIRE,WIRE US Equity,ENCORE WIRE,"1,134,123,648","1,179,845,984",6.21,Industrials,Capital Goods
WLK,WLK US Equity,WESTLAKE CHEMICA,"7,753,234,432","7,590,000,000",2.11,Materials,Materials
WLTW,WLTW US Equity,WILLIS TOWERS WA,"25,177,645,056","9,257,999,616",7.71,Financials,Insurance
WM,WM US Equity,WASTE MANAGEMENT,"47,421,267,968","15,103,000,064",14.80,Industrials,Commercial & Professional Services
WMGI,WMGI US Equity,WRIGHT MEDICAL G,"3,902,692,096","809,533,992",-30.22,Health Care,Health Care Equipment & Services
WMK,WMK US Equity,WEIS MARKETS INC,"1,326,093,184","3,863,138,048",5.10,Consumer Staples,Food & Staples Retailing
WMS,WMS US Equity,ADVANCED DRAINAG,"4,103,935,488","1,768,736,000",21.06,Industrials,Capital Goods
WMT,WMT US Equity,WALMART INC,"373,506,342,912","534,661,005,312",3.88,Consumer Staples,Food & Staples Retailing
WOR,WOR US Equity,WORTHINGTON INDS,"2,429,589,248","3,059,119,040",1.04,Materials,Materials
WORK,WORK US Equity,SLACK TECHNOLO-A,"15,698,998,272","697,250,992",-37.76,Information Technology,Software & Services
WRB,WRB US Equity,WR BERKLEY CORP,"11,228,480,512","7,688,425,984",7.43,Financials,Insurance
WRK,WRK US Equity,WESTROCK CO,"7,866,981,376","17,758,899,968",6.41,Materials,Materials
WSC,WSC US Equity,WILLSCOT MOBILE,"4,076,209,920","1,055,214,992",15.99,Industrials,Capital Goods
WSM,WSM US Equity,WILLIAMS-SONOMA,"7,286,016,512","5,892,078,848",3.94,Consumer Discretionary,Retailing
WSO,WSO US Equity,WATSCO INC,"9,177,529,344","4,830,770,944",9.54,Industrials,Capital Goods
WST,WST US Equity,WEST PHARMACEUT,"20,117,155,840","1,945,400,000",19.65,Health Care,Health Care Equipment & Services
WTM,WTM US Equity,WHITE MOUNTAINS,"2,838,111,232","531,200,000",53.97,Financials,Insurance
WTS,WTS US Equity,WATTS WATER TE-A,"3,182,043,648","1,516,300,000",9.15,Industrials,Capital Goods
WU,WU US Equity,WESTERN UNION,"9,605,163,008","4,919,299,968",19.90,Information Technology,Software & Services
WW,WW US Equity,WW INTERNATIONAL,"1,717,951,104","1,415,148,000",15.28,Consumer Discretionary,Consumer Services
WWD,WWD US Equity,WOODWARD INC,"5,345,035,264","2,700,938,048",9.14,Industrials,Capital Goods
WWE,WWE US Equity,WORLD WRESTLIN-A,"3,540,087,296","1,023,596,992",24.95,Communication Services,Media & Entertainment
